customer_id,customer_name,total_spent
a8825c9d-cb7e-4ad6-8cf3-7a3133f74b82,Aaron Christensen,210022.08
aaf443bd-18a4-4ff7-9f95-a76177bff6df,Jennifer Villarreal,142445.91999999998
8e68102e-eac9-48e8-9fe9-76b329012af6,Amy Williams,139555.65
e216c670-b68f-4635-baef-017fe8cd31e3,Sean Stewart,137344.55000000002
0e91443e-b37b-47e6-9ec2-8234b4cb2d0d,Kevin Hartman,136060.41999999998
a3248eb3-3bee-4946-a14a-39f246c49763,Timothy Alvarez,133864.15
cc24e7a5-7a0c-480d-9f15-56b6c3e1f958,Jamie Schmidt,133552.63999999998
f5d58564-d115-4340-8cd5-d2ff4bec3571,Nicholas Cooley,130406.22
332c7fb7-b21b-4e6c-b295-0893e1ca887e,Sherri Bullock,128515.05
b25e7169-953d-4a98-a72e-73b11467ca7e,Stephanie Rhodes,126077.68000000001
4ac9198c-5d87-4858-b0b0-6bd080ca8c3e,Devin Rivera,125585.46000000002
0f6e0344-1a77-4952-aa15-83126ce0305f,Anthony Thomas,125262.79
206d5cde-38a2-4b49-8e5a-0635383ca46d,Danielle Smith,122954.57999999999
c2a66470-1984-4651-a67a-aad361fbf154,Jeremy Reed DDS,122561.06
1e44cd4b-0f82-4349-96ae-2296e5016602,Terri Santos,121228.45
a68e6ba4-dbae-4138-a08c-eac44a47ae75,Donna Hudson,120653.54000000001
7571a024-0fdc-4a1e-98ba-417a012fdf93,Gary Medina,119663.25000000001
7d576ffd-36d5-4900-ad91-4cd3d3c35cf1,Paul Merritt,119427.07
87916cde-f173-42a7-9b1e-360eb4049325,Tina King,117951.45999999999
e44cdef1-d893-4ab3-bee8-9d1807014a30,Gina Taylor,117684.5
c825810f-dfc0-4b09-8891-0b9090578c2d,Paul Ashley,117353.06000000001
b5d897a4-1f4d-4bbf-a1cb-641fd4da6b80,Jennifer Kline,117252.60999999999
b96cf0fb-09d5-43d9-9ea0-a4ba327a18b1,Donna Sanchez,116988.54000000001
df48b0d5-4677-4629-9228-27d79912b65e,Shannon Benjamin,116623.09999999999
bc5d9704-e429-47bd-94ec-3ac966adb9f9,Tony Sanchez,116317.64
3e328c19-4552-4ced-a7a5-1750f63447b2,Denise Garza,116189.26
c8e7d90e-4e4a-4f88-97de-b55bf6f131ef,Jeffrey Munoz,116051.21
2ce0fcd5-4289-4fbc-a1eb-f6b3f6b604d8,Kristen Griffin,115869.98000000001
605cb72c-5c79-4926-92a1-60976c41cfb1,Sabrina Brown,115643.79000000001
b9ba1d4a-9620-4bd5-ad67-6c8d6cbf7207,Valerie Flores,115545.83
d9d5465a-aa4f-4532-a246-a16689282cbb,Summer Cooper,114946.82
f15031cf-82a4-41ad-9364-91a97b97bd9d,Steve Wright,114848.33000000002
b60aa7d1-0bbd-4f6b-ab08-353383c8adbe,Renee Morris,114820.64
8ddfb68a-276c-44e5-8394-cec7f97b5a8d,Jessica Hurst,114500.75
90124e1d-88ae-44c0-9556-f0ddef57396f,Angela Armstrong,114016.21
5be25f9d-1f51-4e76-b1e3-f34c8a7d3c4a,Kristina George,113339.14
66211fb0-35db-40c3-aba5-33f6fbc1d0c1,Sonya Mclean,113198.29000000001
42930b10-c851-4be4-b3a7-4824e5eec10d,Erika Collins,112676.98
85fb90d5-8192-416e-9ec8-e53e03da47f1,Frank Peterson,112661.13
e1c9e64a-3f92-46a7-aa28-780881bf5d73,Jacob Weber,112545.34
4c7d950f-48f3-4965-aeb9-965d7313f25d,Sandra Hernandez,111855.06
d30d1f87-4882-4a1d-acf5-4dc542a66fcb,Steve Patel,111619.58000000002
1e75c160-b9c1-445f-b37f-65b1072a7295,Mike Burke,111428.17000000001
55757a0e-b45c-4e0f-9f17-dc6e02b61853,Ryan Cox,111355.6
f322966e-de34-4e6a-b6dd-2112a0e26b24,Dennis Key,111335.32999999999
0c9ff06a-a5af-4ed1-86c6-ecff12d38c97,Joseph Campbell,110811.09
a2ea9f4e-dd30-4d5d-ba66-9e4ab69967eb,Victoria Parker,110724.81
26223328-459f-467b-ae29-86d06c915dbe,Curtis Adams,110680.52
edb0c3e9-686d-455b-bda4-923206b21caa,Ryan Martinez,110655.69
aeab1811-25b1-41f2-877f-143ede24ace8,James Villarreal,110654.7
f890f6fa-f39c-451b-9041-8f1ccf184bc0,Laura Reyes,110472.56000000001
aaa36910-a462-4497-8f63-ad2e8bcfb870,Stacy Burke,110326.98000000001
f2b1ecdf-47bf-4e08-a790-b2dfb91099e4,Shannon Williams,109779.20999999999
18c24731-d958-48a5-addc-7817dbfc907b,Michelle Peterson,109668.02
6ec8aebe-35ab-44f9-8293-6da08f34bac1,Tina Luna,109565.93
3a23c5b0-f436-4826-9757-859eceb2e7c8,Michael Hampton,109552.36
f1011796-26fa-4eac-91c5-963472ded7a2,Kendra Klein,108736.89000000001
aaf7b1c2-4e40-4a60-9bee-d61cc84c0258,Jerry Serrano,108211.35999999999
46f18b77-5ac8-409a-824b-7603c59c59cf,Karen Duran,107996.34
9cc3c1bd-5f85-47f8-b2d3-3f9eeba376b7,Michelle Long,107203.77
b5e0e33b-2e04-4f71-b3aa-73f24ac624bc,James Rogers,106959.53
01adb5fc-2694-4ca3-9461-6f26a34b67c0,Kristen Conley,106923.18
36199df7-e203-4109-aaf7-50716ee2a0ee,Brittney Shah,106745.09999999998
5facd69a-2595-42cb-b920-4e0f78401746,Tricia Diaz,106707.25999999998
41756fc3-0898-400b-b4ad-470dd12e7f98,Matthew Nielsen,106559.41
8f5e51f0-fd74-4d19-a166-f087dc9b2a53,Jay Rowland,106552.72000000002
add80b1c-e921-4cdf-b61e-82217ed1981d,Jason Stevens,106487.88999999998
69390e95-c6a7-4515-b5b6-fb85855f4c55,Melanie Gonzalez,106388.22
eebcbb12-f49d-4b2b-b5d9-0ee612610786,Betty Phelps,106382.24
b9de7d5c-95e3-425b-9ffb-4dbf58c62635,Robert Carter,106374.07
0637a710-bccf-4ba4-807a-2504d599c35e,Amanda Yang,106257.81999999999
f0f4f06a-a338-4a0b-b39d-436fd71d906a,Beverly Richard,106186.5
8e845972-2cfa-4e00-a8e1-5401c5ff7004,Stacy Martin,106125.79
cd620fa1-fed4-4900-9199-bea5347871b7,Judith Cook,106122.7
8f210840-ed7b-40a2-ae36-6c4e7fdfc045,Laura Berry,106034.65
784fbc59-ebbf-4584-9178-509f76de387c,Brian Wells,105995.87999999998
07cd79d9-b092-4c96-a250-bd93e7e1af71,Christine Atkinson,105817.74
30ef0402-111d-4aa8-83b4-17b9496b10cb,Debra Fernandez,105619.47
d6395d32-6021-45af-b4c7-e2cfe08e1944,Ellen Morris,105606.08
30ebe0d3-6a04-4b31-9877-e1c921a9fb2c,Mr. Charles Roberts PhD,105495.00999999998
82ce46f7-52b3-42fe-99ab-a06672b31e88,Dustin Glass,105243.08
3aa70c4a-36cd-443b-9e29-5006732afd9c,Michael Khan,105224.76
f70a71ce-675b-43a8-912c-73422e827ceb,Michael Mcdonald,105141.15
a2f3ecd8-07b6-453c-9324-169c3d44aa3d,Gregory Brewer,105087.37000000001
7a77a5ff-cf91-4c3d-975d-8fb1bc8b0954,Brett Pugh,104910.73000000001
805de272-3442-4a38-94af-02ecca400206,Charles Green,104903.59999999999
b02fe7f2-96f0-4036-b3d2-a7b7b76384f1,Victoria Martinez,104825.31999999999
fff54bfa-1d6e-46f7-9d28-ff2da8047066,Brenda Mosley,104473.01999999999
da7bd132-1a78-4f19-8084-c7984b98e5c7,Lauren Jacobs,104314.2
1877ea00-805a-49cb-b858-8862c2506aad,Brian Reed,104313.24
50c5033a-40c5-4c96-b30d-854abe61a828,Lisa Green,104108.32
982f03c6-5768-416f-8e14-9cd298ae39d5,Luis Baldwin Jr.,104080.26
034b4f36-8642-4ae0-a9f0-d07d059fcbf7,Christopher Thomas,103914.74
c769e4a8-e054-47ce-96ef-84f62b0c118f,Nicholas Brown,103408.25
d5a30ee6-c40e-4a48-8e6b-f64cccd2bec7,Andrew Hall,103200.47
7dada631-322e-4b17-b704-e6febf169d40,Evelyn Proctor DDS,103200.18
091662a2-83a6-4047-83f0-f9be80d287d1,Sara Alvarado,103174.67000000001
42ecbba5-b5cb-42dd-91ec-5858624099a2,Chelsea Dyer,102977.23000000001
71447bd9-155c-4092-a0a1-1131c59aa7fe,Roy Stone,102495.72999999998
231e6d87-5cea-4dc1-b1d1-270a51b5806a,Andrew Kline,102464.04000000001
b61e6888-19d9-4b6b-8dba-cb7fddbef704,Jonathan Jones,102207.32
cf29e83a-7460-45fc-9278-1f9f97e742dc,Mark Matthews,101982.45999999999
4183925e-7dd1-482f-b0f8-539750d9ae7b,Stanley Johnson,101908.03000000001
bc71e41d-20f0-4006-a4e1-bbe3a9ce3578,Brenda Cox,101752.15
57033edb-699b-4a63-bb47-28838e39eafc,Rose Sandoval,101535.48000000001
